"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.Malawi","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"1","Acinetobacter",0.284403627193786,0.533976951700086,"Acinetobacter","Malawi",31,81,38.3,0.1,0.8,"UK",2,59,3.4,0.1,0.9,4.6741384587378e-07,7.71232845691737e-06,34.9,TRUE,13,1,"3",0.289952015531901,1.5992507328699,-0.639212674242234,-2.59347557952956,5.86225611677695,-0.379454745404682,0.332539053259615,0.0050390432492034,0.0253478003054554,0.00204168340287163,0.0138547740983358,0.132,0.121,0.011,0.9,0.85,0.95
"2","Actinomyces",0.0742253407434729,0.133194021564207,"Actinomyces","Malawi",21,81,25.9,0,0.1,"UK",7,59,11.9,0.2,1.6,0.0535999153987814,0.104481988702903,14,TRUE,26,0,"ns",-0.372341927606573,-0.473026917553897,-0.250257506194577,0.026890144913942,6.25373153205371,0.00485087093750455,0.498014297072759,0.651657203174381,0.801910423699999,0.629931305663637,0.771308921350357,0.017,0.221,-0.204,0.9,0.85,0.95
"3","Aerococcus",0.00654699787320768,0.0146433633195363,"Aerococcus","Malawi",5,81,6.2,0,0,"UK",0,59,0,0,0,0.0734544703177478,0.117290202604146,6.2,TRUE,90,0,"ns",-1.16268432532707,-1.40404808720798,-0.846423293208286,0.344084517712583,4.63570620779902,0.0651146935782284,0.4675668521892,0.480002574469515,0.655335063632942,0.442684355217333,0.605316347005762,0.001,0,0.001,0.9,0.85,0.95
"4","Aeromonas",0.0124599519851698,0.0267400688440572,"Aeromonas","Malawi",6,81,7.4,0,0.1,"UK",0,59,0,0,0,0.039395496502531,0.0886398671306948,7.4,TRUE,72,0,"ns",-1.24302768359177,-1.48195798978696,-0.902992925657973,0.555599465734232,4.66033401851901,0.0960267903771266,0.447033898618164,0.538811671273119,0.705403443686957,0.436872368067153,0.606818181005838,0.011,0,0.011,0.9,0.85,0.95
"5","Agathobacter",0.0118552709769223,0.0235552811794715,"Agathobacter","Malawi",7,81,8.6,0.1,0.5,"UK",2,59,3.4,0,0.4,0.302573065249767,0.348310854182872,5.2,TRUE,76,0,"ns",-1.03224424003569,-1.2031873894932,-0.796525855181667,0.330916638862176,4.87908950171503,0.0551809298247684,0.470868644238638,0.501914637198199,0.69169162826804,0.448749820827584,0.615548446523741,0.109,0.047,0.062,0.9,0.85,0.95
"6","Akkermansia",0.00413077827243395,0.00955318168064159,"Akkermansia","Malawi",2,81,2.5,0,0,"UK",3,59,5.1,0,0,0.649893072215792,0.670202230722536,-2.6,FALSE,98,0,"ns",-1.25865261668676,-1.68138229082818,-0.67431258782336,0.970112106689639,4.54568932937757,0.192551711225263,0.407838983608436,0.191805156337034,0.320299580125658,0.133550198943549,0.251712371513035,0.004,0.001,0.003,0.9,0.85,0.95
"7","Alistipes",0.0225629429305211,0.0471670295771774,"Alistipes","Malawi",3,81,3.7,0,0,"UK",8,59,13.6,0,0,0.0528387217547733,0.104481988702903,-9.9,FALSE,59,0,"ns",-1.06645127356634,-1.50888139679674,-0.397382795551151,1.32875756050442,5.22946497231086,0.244609731790395,0.380826271924916,0.0630304930763599,0.156490065534908,0.0760012877266753,0.167719116338233,0.003,0.005,-0.002,0.9,0.85,0.95
"8","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.0195472563930753,0.0392268621944036,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Malawi",5,81,6.2,0,0,"UK",0,59,0,0,0,0.0734544703177478,0.117290202604146,6.2,TRUE,60,0,"ns",-1.29714693211057,-1.54171125683694,-0.979923583352443,0.492926020723297,4.84252942179891,0.0929184495000522,0.448768864480361,0.487380926258343,0.672545242592244,0.38582538433655,0.545333281365164,0.009,0,0.009,0.9,0.85,0.95
"9","Anaerococcus",0.0705620858374887,0.13400199296705,"Anaerococcus","Malawi",21,81,25.9,0,0,"UK",4,59,6.8,0,0,0.00349797118057289,0.0173149573438358,19.1,TRUE,28,0,"3",-0.45128655895158,-0.35048852278358,-0.553901031247019,-0.555340089301386,5.33745571094115,-0.0899944404915806,0.458564998919915,0.436127451219391,0.620667826454736,0.500239579660436,0.65193235272066,0.006,0,0.006,0.9,0.85,0.95
"10","Anaerostipes",0.0102477553342146,0.0203058518341685,"Anaerostipes","Malawi",6,81,7.4,0,0.1,"UK",2,59,3.4,0,0.1,0.467419431645277,0.497575524009488,4,TRUE,80,0,"ns",-1.14034911324942,-1.41383972831457,-0.749944948826448,0.652574648167707,5.04079857609989,0.109216759188844,0.441207627467079,0.378149049138162,0.56192424511127,0.306252543655599,0.460119209866254,0.014,0.011,0.003,0.9,0.85,0.95
