"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Prevotella",0.00979693271453276,0.0184638182784943,"Prevotella","Prevotella","India",12,1,289,0.041522491349481,0.00346020761245675,1.28719723183391e-05,8.67650936071984e-05,"UK",2,1,71,0.028169014084507,0.0140845070422535,2.47887323943662e-05,0.0001994697195418,1,0.355988857938719,NA,NA,NA,NA,0.0133534772649739,-0.0106242994297968,TRUE,FALSE,64,0,"ns","ns",0.898,0.0703239258393226
"Peptoniphilus",0.00918716624550627,0.0172659115385638,"Peptoniphilus","Peptoniphilus","India",7,1,289,0.0242214532871972,0.00346020761245675,1.09342560553633e-05,0.000114197802184792,"UK",2,0,71,0.028169014084507,0,1.12676056338028e-06,6.66532515006859e-06,0.692892312072754,1,NA,NA,NA,NA,-0.00394756079730981,0.00346020761245675,FALSE,TRUE,65,0,"ns","ns",0.898,0.0703239258393226
"Bradyrhizobium",0.00912613190342716,0.0191176701430342,"Bradyrhizobium","Bradyrhizobium","India",4,0,289,0.013840830449827,0,1.24567474048443e-06,1.17188649392031e-05,"UK",0,0,71,0,0,0,0,1,1,NA,NA,NA,NA,0.013840830449827,0,TRUE,FALSE,66,0,"ns","ns",0.898,0.0703239258393226
"Bacillus",0.00898012440253891,0.0206278530214324,"Bacillus","Bacillus","India",3,0,289,0.0103806228373702,0,5.5363321799308e-07,5.74680427049131e-06,"UK",1,1,71,0.0140845070422535,0.0140845070422535,0.000310985915492958,0.00262041390129203,0.586390916211492,0.197222222222222,NA,NA,NA,NA,-0.00370388420488328,-0.0140845070422535,FALSE,FALSE,67,0,"ns","ns",0.898,0.0703239258393226
"Tyzzerella_4",0.00877068508681054,0.0238266500400782,"Tyzzerella_4","Tyzzerella_4","India",10,2,289,0.0346020761245675,0.0069204152249135,4.62283737024221e-05,0.000586363525277171,"UK",0,0,71,0,0,0,0,0.220776786378991,1,NA,NA,NA,NA,0.0346020761245675,0.0069204152249135,TRUE,TRUE,68,0,"ns","ns",0.898,0.0703239258393226
"Butyricicoccus",0.00833421601787541,0.0164180200685046,"Butyricicoccus","Butyricicoccus","India",5,2,289,0.0173010380622837,0.0069204152249135,5.63321799307958e-05,0.000723025357128735,"UK",1,1,71,0.0140845070422535,0.0140845070422535,0.000450704225352113,0.00379770130622033,1,0.483711738068191,NA,NA,NA,NA,0.00321653102003022,-0.00716409181734003,TRUE,FALSE,69,0,"ns","ns",0.898,0.0703239258393226
"Aeromonas",0.00816254163176853,0.0218346923920835,"Aeromonas","Aeromonas","India",9,3,289,0.0311418685121107,0.0103806228373702,6.03460207612457e-05,0.000607088810882186,"UK",0,0,71,0,0,0,0,0.214486831744017,1,NA,NA,NA,NA,0.0311418685121107,0.0103806228373702,TRUE,TRUE,70,0,"ns","ns",0.898,0.0703239258393226
"unassigned_Ruminococcaceae",0.00799345004502961,0.0179847420912673,"unassigned_Ruminococcaceae","unassigned_Ruminococcaceae","India",6,1,289,0.0207612456747405,0.00346020761245675,4.16608996539792e-05,0.000627948607814471,"UK",2,0,71,0.028169014084507,0,5.07042253521127e-06,3.82052068043319e-05,0.659253250904994,1,NA,NA,NA,NA,-0.00740776840976656,0.00346020761245675,FALSE,TRUE,71,0,"ns","ns",0.898,0.0703239258393226
"Cronobacter",0.00763099328673837,0.0167248786546749,"Cronobacter","Cronobacter","India",15,9,289,0.0519031141868512,0.0311418685121107,9.70242214532872e-05,0.000578295630466667,"UK",0,0,71,0,0,0,0,0.0491407284771676,0.214486831744017,0.103951541009393,0,NA,NA,0.0519031141868512,0.0311418685121107,TRUE,TRUE,72,0,"ns","ns",0.898,0.0703239258393226
"Negativicoccus",0.0075735611306444,0.0159891358858133,"Negativicoccus","Negativicoccus","India",6,1,289,0.0207612456747405,0.00346020761245675,9.41176470588235e-06,8.96908269804914e-05,"UK",2,1,71,0.028169014084507,0.0140845070422535,8.3943661971831e-05,0.000656437308231203,0.659253250904994,0.355988857938719,NA,NA,NA,NA,-0.00740776840976656,-0.0106242994297968,FALSE,FALSE,73,0,"ns","ns",0.898,0.0703239258393226
