"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"547","RSV3",0.179078531333195,0.319930718797999,"Streptococcus (RSV3)","India (OPV)",183,179,194,0.943298969072165,0.922680412371134,0.0728082474226804,0.0780925053559398,"India (IPV)",90,85,95,0.947368421052632,0.894736842105263,0.0669726315789474,0.096789721849828,1,0.504559285324531,1,0,0.906066844301673,0,-0.0040694519804666,0.0279435702658709,FALSE,TRUE,1,1,"ns","ns",0.5485,0.0965189571582137
"345","RSV2",0.179008928087627,0.315670321324795,"Escherichia/Shigella (RSV2)","India (OPV)",185,172,194,0.95360824742268,0.88659793814433,0.118917525773196,0.150368209881841,"India (IPV)",88,79,95,0.926315789473684,0.831578947368421,0.102590736842105,0.116859515360549,0.412460959932898,0.199474491784655,0.863191493467817,0,0.708697604566621,0,0.0272924579489963,0.0550189907759088,TRUE,TRUE,2,1,"ns","ns",0.5485,0.0965189571582137
"682","RSV4",0.156507098397308,0.286005077086752,"Streptococcus (RSV4)","India (OPV)",151,70,194,0.778350515463918,0.360824742268041,0.00184412371134021,0.00326766787988272,"India (IPV)",79,30,95,0.831578947368421,0.315789473684211,0.00247242105263158,0.00651418692625491,0.351981264803214,0.511024750213839,0.857698460298138,0,0.906066844301673,0,-0.0532284319045035,0.0450352685838307,FALSE,TRUE,3,1,"ns","ns",0.5485,0.0965189571582137
"800","RSV5",0.152749194096776,0.27756268175725,"Bifidobacterium (RSV5)","India (OPV)",126,99,194,0.649484536082474,0.510309278350515,0.0615923711340206,0.138727993086656,"India (IPV)",71,53,95,0.747368421052632,0.557894736842105,0.0797701052631579,0.156851700656783,0.107277461434435,0.455090616696136,0.648408292632818,0,0.906066844301673,0,-0.0978838849701573,-0.0475854584915898,FALSE,FALSE,4,1,"ns","ns",0.5485,0.0965189571582137
"326","RSV19",0.151482014028838,0.268084264667903,"Klebsiella (RSV19)","India (OPV)",149,87,194,0.768041237113402,0.448453608247423,0.0177338144329897,0.0532678797041204,"India (IPV)",75,55,95,0.789473684210526,0.578947368421053,0.00983242105263158,0.0200960072627857,0.764900042374434,0.0450142263273912,0.961490499294719,0,0.396943632159722,0,-0.0214324470971242,-0.13049376017363,FALSE,FALSE,5,1,"ns","ns",0.5485,0.0965189571582137
"346","RSV20",0.14355482348756,0.259784962484719,"Veillonella (RSV20)","India (OPV)",106,80,194,0.54639175257732,0.412371134020619,0.0114414432989691,0.0290359797881598,"India (IPV)",46,29,95,0.484210526315789,0.305263157894737,0.00716084210526316,0.0235921955930417,0.380145389869966,0.0930799481507386,0.862831698173384,0,0.54345148286113,0,0.0621812262615301,0.107107976125882,TRUE,TRUE,6,1,"ns","ns",0.5485,0.0965189571582137
"1","RSV1",0.143479514211279,0.253247368715755,"Bifidobacterium (RSV1)","India (OPV)",146,135,194,0.752577319587629,0.695876288659794,0.32652,0.296586162007435,"India (IPV)",72,65,95,0.757894736842105,0.684210526315789,0.331986105263158,0.293584892345286,1,0.892317097295248,1,0,0.99066086983815,0,-0.00531741725447643,0.0116657623440043,FALSE,TRUE,7,1,"ns","ns",0.5485,0.0965189571582137
"534","RSV29",0.130004260127739,0.230734115911574,"Klebsiella (RSV29)","India (OPV)",126,76,194,0.649484536082474,0.391752577319588,0.0101820618556701,0.0297409909183343,"India (IPV)",56,38,95,0.589473684210526,0.4,0.00341978947368421,0.00935688413983368,0.364401445687676,0.898743881915022,0.857698460298138,0,0.99066086983815,0,0.060010851871948,-0.0082474226804124,TRUE,FALSE,8,1,"ns","ns",0.5485,0.0965189571582137
"476","RSV26",0.126561070110734,0.226208687053871,"Klebsiella (RSV26)","India (OPV)",137,80,194,0.706185567010309,0.412371134020619,0.0113338144329897,0.0324626523852024,"India (IPV)",67,45,95,0.705263157894737,0.473684210526316,0.00832463157894737,0.0225992489900884,1,0.376469799457313,1,0,0.849245826682775,0,0.000922409115572509,-0.0613130765056972,TRUE,FALSE,9,1,"ns","ns",0.5485,0.0965189571582137
"548","RSV30",0.121770606769803,0.218799807330485,"Rothia (RSV30)","India (OPV)",113,72,194,0.582474226804124,0.371134020618557,0.00233896907216495,0.00477373328765121,"India (IPV)",51,26,95,0.536842105263158,0.273684210526316,0.00184673684210526,0.00625834089259155,0.527632621606117,0.113237199675272,0.875448629155882,0,0.610222687138968,0,0.0456321215409659,0.0974498100922409,TRUE,TRUE,10,1,"ns","ns",0.5485,0.0965189571582137
"371","RSV21",0.114879337449695,0.230887770007198,"Escherichia/Shigella (RSV21)","India (OPV)",85,73,194,0.438144329896907,0.376288659793814,0.0085059793814433,0.0206803750509578,"India (IPV)",31,28,95,0.326315789473684,0.294736842105263,0.00581263157894737,0.0142697815077077,0.0746837959900064,0.190503915287079,0.561511503184122,0,0.708697604566621,0,0.111828540423223,0.0815518176885513,TRUE,TRUE,11,1,"ns","ns",0.5485,0.0965189571582137
"1041","RSV8",0.114067510761569,0.202864951061138,"Staphylococcus (RSV8)","India (OPV)",114,68,194,0.587628865979381,0.350515463917526,0.00248453608247423,0.00745667166866954,"India (IPV)",54,27,95,0.568421052631579,0.284210526315789,0.00276084210526316,0.0102625797908794,0.800101598010971,0.287834644701933,0.961490499294719,0,0.73473580358125,0,0.0192078133478025,0.0663049376017363,TRUE,TRUE,12,1,"ns","ns",0.5485,0.0965189571582137
"414","RSV23",0.113852800706317,0.205806387724133,"Staphylococcus (RSV23)","India (OPV)",98,36,194,0.505154639175258,0.185567010309278,0.00142371134020619,0.00545881600394705,"India (IPV)",41,12,95,0.431578947368421,0.126315789473684,0.000998736842105263,0.00443219729429356,0.260791804747127,0.240569521570034,0.716471529785218,0,0.708697604566621,0,0.0735756918068367,0.0592512208355941,TRUE,TRUE,13,1,"ns","ns",0.5485,0.0965189571582137
"980","RSV7",0.11307558775453,0.201244727625677,"Staphylococcus (RSV7)","India (OPV)",122,52,194,0.628865979381443,0.268041237113402,0.00286824742268041,0.013143370519863,"India (IPV)",63,20,95,0.663157894736842,0.210526315789474,0.00107621052631579,0.00281089717597969,0.603498932322242,0.313848113846831,0.900810906333935,0,0.764162507754444,0,-0.0342919153553988,0.0575149213239284,FALSE,TRUE,14,1,"ns","ns",0.5485,0.0965189571582137
"56","RSV11",0.105585995480991,0.190057849741956,"Lactobacillus (RSV11)","India (OPV)",69,61,194,0.355670103092784,0.314432989690722,0.0244465979381443,0.0687877837522576,"India (IPV)",34,31,95,0.357894736842105,0.326315789473684,0.0140795789473684,0.0364779285034928,1,0.893259848147013,1,0,0.99066086983815,0,-0.00222463374932175,-0.0118827997829626,FALSE,FALSE,15,1,"ns","ns",0.5485,0.0965189571582137
"455","RSV25",0.105079803513315,0.196152995434336,"Enterococcus (RSV25)","India (OPV)",68,30,194,0.350515463917526,0.154639175257732,0.00175505154639175,0.00985650203575025,"India (IPV)",37,27,95,0.389473684210526,0.284210526315789,0.01176,0.0929834985131485,0.518415738803232,0.0117723250372749,0.875448629155882,0,0.163130789802238,0,-0.0389582202930006,-0.129571351058058,FALSE,FALSE,16,1,"ns","ns",0.5485,0.0965189571582137
"621","RSV35",0.10203168144336,0.183746966140513,"Gemella (RSV35)","India (OPV)",101,14,194,0.520618556701031,0.0721649484536082,0.000264329896907217,0.000554437412132343,"India (IPV)",48,8,95,0.505263157894737,0.0842105263157895,0.000420210526315789,0.00141024668050948,0.900343500589688,0.813858592042377,1,0,0.99066086983815,0,0.0153553988062941,-0.0120455778621812,TRUE,FALSE,17,1,"ns","ns",0.5485,0.0965189571582137
