"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"1156","RSV312",0.215580812395664,0.359965220213871,"Weissella (RSV312)","India",223,67,288,0.774305555555556,0.232638888888889,0.00173097222222222,0.00620983386912666,"UK",1,0,57,0.0175438596491228,0,7.01754385964912e-07,5.29812942826018e-06,3.74299079328939e-29,1.76288363634832e-06,1.48097669054483e-26,1,1.12899569051243e-05,1,0.756761695906433,0.232638888888889,TRUE,TRUE,1,1,"1","1",0.977,0.034392270684389
"1245","RSV34",0.193913491799655,0.330222663767612,"Streptococcus (RSV34)","India",216,118,288,0.75,0.409722222222222,0.0100398611111111,0.0392559689326955,"UK",0,0,57,0,0,0,0,2.41432384700736e-29,2.98786935655714e-12,1.43290120319887e-26,1,4.61204449396769e-11,1,0.75,0.409722222222222,TRUE,TRUE,2,1,"1","1",0.977,0.034392270684389
"1105","RSV296",0.190563988990538,0.323385661611254,"Blautia (RSV296)","India",269,206,288,0.934027777777778,0.715277777777778,0.00403027777777778,0.00677998652979292,"UK",33,2,57,0.578947368421053,0.0350877192982456,0.000211228070175439,0.000376961868929162,1.37843545647215e-10,2.18429974944857e-23,1.62000285824994e-09,1,3.28737112292009e-21,1,0.355080409356725,0.680190058479532,TRUE,TRUE,3,1,"1","1",0.977,0.034392270684389
"1294","RSV358",0.172940414024852,0.297593374814362,"Dorea (RSV358)","India",266,206,288,0.923611111111111,0.715277777777778,0.00246055555555556,0.00240140254540053,"UK",42,1,57,0.736842105263158,0.0175438596491228,0.000273684210526316,0.000319355554084804,0.000179156703974707,5.13848574348791e-25,0.000574054141878612,1,1.54668420878986e-22,1,0.186769005847953,0.697733918128655,TRUE,TRUE,4,1,"1","1",0.977,0.034392270684389
"1208","RSV327",0.157939664828404,0.277964043813824,"unassigned Firmicutes (RSV327)","India",253,204,288,0.878472222222222,0.708333333333333,0.00377333333333333,0.00452782462323966,"UK",35,2,57,0.614035087719298,0.0350877192982456,0.00024280701754386,0.000311022245334207,7.11325405327124e-06,5.89721958202746e-23,3.24747406201268e-05,1,7.10025237676106e-21,1,0.264437134502924,0.673245614035088,TRUE,TRUE,5,1,"1","1",0.977,0.034392270684389
"351","RSV1319",0.155312564033714,0.268856741132143,"Ruminiclostridium_5 (RSV1319)","India",13,0,288,0.0451388888888889,0,8.19444444444444e-06,4.65634747583534e-05,"UK",45,8,57,0.789473684210526,0.140350877192982,0.00162666666666667,0.00601274519349563,1.98716627345773e-33,3.60239447109499e-07,2.35876636659432e-30,1,2.55134290776375e-06,1,-0.744334795321637,-0.140350877192982,FALSE,FALSE,6,1,"3","3",0.977,0.034392270684389
"2384","RSV89",0.141688540605411,0.253391929285763,"Prevotella_9 (RSV89)","India",212,155,288,0.736111111111111,0.538194444444444,0.00690402777777778,0.0133428442668025,"UK",1,1,57,0.0175438596491228,0.0175438596491228,7.08771929824561e-05,0.000535111072254278,2.15337289200375e-26,1.03291281918448e-15,5.1121072456169e-24,1,3.14095985061104e-14,1,0.718567251461988,0.520650584795322,TRUE,TRUE,7,1,"1","1",0.977,0.034392270684389
"244","RSV12",0.140233621710271,0.244389504790411,"Collinsella (RSV12)","India",273,261,288,0.947916666666667,0.90625,0.0491577777777778,0.0566762821602163,"UK",41,33,57,0.719298245614035,0.578947368421053,0.00651789473684211,0.0119209525531493,1.91515560899772e-06,1.62382752102131e-08,1.02863787686891e-05,1,1.57668414137875e-07,1,0.228618421052632,0.327302631578947,TRUE,TRUE,8,1,"1","1",0.977,0.034392270684389
"2167","RSV751",0.139421235772687,0.23849695063196,"Oscillibacter (RSV751)","India",74,12,288,0.256944444444444,0.0416666666666667,0.000133888888888889,0.000433195904232782,"UK",51,33,57,0.894736842105263,0.578947368421053,0.00291789473684211,0.00444996578511811,6.76338134320658e-20,6.32106926052001e-21,3.82292078780296e-18,1,5.43611956404721e-19,1,-0.637792397660819,-0.537280701754386,FALSE,FALSE,9,1,"3","3",0.977,0.034392270684389
"360","RSV133",0.13924839741889,0.244218920975256,"Blautia (RSV133)","India",271,242,288,0.940972222222222,0.840277777777778,0.00759236111111111,0.0112774436761681,"UK",48,19,57,0.842105263157895,0.333333333333333,0.00104210526315789,0.00177441211274739,0.0229836656310254,5.2872494561241e-14,0.0390854027278325,1,1.17886080466174e-12,1,0.0988669590643275,0.506944444444444,TRUE,TRUE,10,1,"1","1",0.977,0.034392270684389
"2070","RSV706",0.135706207770759,0.236207154811245,"Dorea (RSV706)","India",237,119,288,0.822916666666667,0.413194444444444,0.00151763888888889,0.00275309847265855,"UK",10,0,57,0.175438596491228,0,3.50877192982456e-05,9.22946138154788e-05,5.73581450566798e-21,2.49416892739608e-12,4.00494812836935e-19,1,3.95128866919063e-11,1,0.647478070175439,0.413194444444444,TRUE,TRUE,11,1,"1","1",0.977,0.034392270684389
"712","RSV19",0.132929873459935,0.23423409481138,"Klebsiella (RSV19)","India",215,117,288,0.746527777777778,0.40625,0.00473013888888889,0.014604819117129,"UK",3,2,57,0.0526315789473684,0.0350877192982456,0.000428070175438596,0.00222360023272788,6.10019889037701e-24,3.33367787032322e-09,6.58266916625228e-22,1,3.64886195988105e-08,1,0.693896198830409,0.371162280701754,TRUE,TRUE,12,1,"1","1",0.977,0.034392270684389
"549","RSV16",0.131164178408387,0.238225249874311,"Bifidobacterium (RSV16)","India",257,212,288,0.892361111111111,0.736111111111111,0.0237980555555556,0.0452791564491822,"UK",20,7,57,0.350877192982456,0.12280701754386,0.000484912280701754,0.00117069137510249,4.05489193813732e-17,2.27854578613061e-18,1.41563433252029e-15,1,1.37168456325063e-16,1,0.541483918128655,0.613304093567252,TRUE,TRUE,13,1,"1","1",0.977,0.034392270684389
"1392","RSV398",0.131123331238278,0.242182208716196,"unassigned Firmicutes (RSV398)","India",233,140,288,0.809027777777778,0.486111111111111,0.00213944444444444,0.00326861962527648,"UK",15,0,57,0.263157894736842,0,8.98245614035088e-05,0.000188873457524856,2.8977811250476e-15,4.20098114483884e-15,7.47753520745979e-14,1,1.14954120417863e-13,1,0.545869883040936,0.486111111111111,TRUE,TRUE,14,1,"1","1",0.977,0.034392270684389
"1744","RSV546",0.12599482299108,0.218015904261685,"Lachnospiraceae_NK4A136_group (RSV546)","India",21,3,288,0.0729166666666667,0.0104166666666667,4.94444444444444e-05,0.000300966567830393,"UK",42,34,57,0.736842105263158,0.596491228070175,0.00399438596491228,0.00704042790337751,1.01549390669207e-25,2.70778252153125e-28,1.72198752463356e-23,1,1.63008507796181e-25,1,-0.663925438596491,-0.586074561403509,FALSE,FALSE,15,1,"3","3",0.977,0.034392270684389
"605","RSV1686",0.125277622481593,0.220222744186439,"Marvinbryantia (RSV1686)","India",228,25,288,0.791666666666667,0.0868055555555556,0.000363611111111111,0.00043340417539398,"UK",7,0,57,0.12280701754386,0,1.26315789473684e-05,3.93939043412572e-05,5.62504596136533e-22,0.0207663027748068,4.45128637076043e-20,1,0.0323868245348023,1,0.668859649122807,0.0868055555555556,TRUE,TRUE,16,1,"1","1",0.977,0.034392270684389
"2387","RSV891",0.120717604821651,0.215205643145804,"unassigned Firmicutes (RSV891)","India",253,82,288,0.878472222222222,0.284722222222222,0.00102527777777778,0.00162962980531211,"UK",26,0,57,0.456140350877193,0,6.73684210526316e-05,0.000113429120659264,2.49089127444735e-11,6.75963663792013e-08,3.32212128401012e-10,1,5.73141021975763e-07,1,0.422331871345029,0.284722222222222,TRUE,TRUE,17,1,"1","1",0.977,0.034392270684389
"990","RSV26",0.120474706349117,0.211852511012844,"Klebsiella (RSV26)","India",204,107,288,0.708333333333333,0.371527777777778,0.00332916666666667,0.00944000970737114,"UK",2,1,57,0.0350877192982456,0.0175438596491228,5.82456140350877e-05,0.000398860532405472,5.89721958202746e-23,3.09729396589552e-09,5.38461511066661e-21,1,3.45290919901685e-08,1,0.673245614035088,0.353983918128655,TRUE,TRUE,18,1,"1","1",0.977,0.034392270684389
"2514","RSV98",0.120412508081306,0.208339627714428,"Lactobacillus (RSV98)","India",202,160,288,0.701388888888889,0.555555555555556,0.0150095833333333,0.0341298459693052,"UK",1,0,57,0.0175438596491228,0,1.40350877192982e-06,1.05962588565204e-05,3.85429093957491e-24,3.89561994581755e-18,4.57504334527542e-22,1,2.1319665521656e-16,1,0.683845029239766,0.555555555555556,TRUE,TRUE,19,1,"1","1",0.977,0.034392270684389
"1417","RSV41",0.113342094086449,0.195342696804803,"Dialister (RSV41)","India",198,190,288,0.6875,0.659722222222222,0.0317484722222222,0.0413356603572503,"UK",0,0,57,0,0,0,0,3.45509488885338e-25,1.50984003484679e-23,5.12649704133621e-23,1,3.02974566992589e-21,1,0.6875,0.659722222222222,TRUE,TRUE,20,1,"1","1",0.977,0.034392270684389
"254","RSV121",0.100191870836676,0.177229354903387,"Prevotella_9 (RSV121)","India",194,155,288,0.673611111111111,0.538194444444444,0.00759430555555556,0.0212756767979175,"UK",1,1,57,0.0175438596491228,0.0175438596491228,8.42105263157895e-05,0.000635775531391221,1.75035471715112e-22,1.03291281918448e-15,1.48405074947027e-20,1,3.14095985061104e-14,1,0.656067251461988,0.520650584795322,TRUE,TRUE,21,0,"1","1",0.977,0.034392270684389
"954","RSV249",0.0964520627123032,0.171884315785854,"Blautia (RSV249)","India",270,221,288,0.9375,0.767361111111111,0.00470152777777778,0.00653821809942143,"UK",51,10,57,0.894736842105263,0.175438596491228,0.000713684210526316,0.00112104006488068,0.255242009474964,3.38941153249815e-17,0.300567723459109,0,1.36028382837592e-15,1,0.0427631578947368,0.591922514619883,TRUE,TRUE,22,0,"ns","1",0.977,0.034392270684389
