"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"1398","g2256","6.1.1.20","Phenylalanine--tRNA ligase","Phenylalanine--tRNA_ligase_(6.1.1.20)","Phenylalanine--tRNA_ligase_(6.1.1.20)",0.048901,0.011211,100,0.049788,0.009635,100,0.044574,0.016355,100
"144","g1127","2.7.11.1","Non-specific serine/threonine protein kinase","Non-specific_serine/threonine_protein_kinase_(2.7.11.1)","Non-specific_serine/threonine_protein_kinase_(2.7.11.1)",0.047453,0.023015,100,0.050096,0.022972,100,0.034554,0.018571,100
"881","g1791","3.6.3.24","Nickel-transporting ATPase","Nickel-transporting_ATPase_(3.6.3.24)","Nickel-transporting_ATPase_(3.6.3.24)",0.04708,0.029432,100,0.05004,0.029544,100,0.032635,0.024347,100
"874","g1785","3.6.3.17","Monosaccharide-transporting ATPase","Monosaccharide-transporting_ATPase_(3.6.3.17)","Monosaccharide-transporting_ATPase_(3.6.3.17)",0.045966,0.030431,100,0.046471,0.030495,100,0.043502,0.030257,100
"1096","g1985","4.2.1.33","3-isopropylmalate dehydratase","3-isopropylmalate_dehydratase_(4.2.1.33)","3-isopropylmalate_dehydratase_(4.2.1.33)",0.044845,0.012303,100,0.045909,0.012497,100,0.039654,0.00986,100
"352","g1314","3.1.11.6","Exodeoxyribonuclease VII","Exodeoxyribonuclease_VII_(3.1.11.6)","Exodeoxyribonuclease_VII_(3.1.11.6)",0.044745,0.010248,100,0.04563,0.00954,100,0.040427,0.012384,100
"1859","g522","1.6.5.11","NADH dehydrogenase (quinone)","NADH_dehydrogenase_(quinone)_(1.6.5.11)","NADH_dehydrogenase_(quinone)_(1.6.5.11)",0.044452,0.040144,98.8,0.041379,0.03921,98.6,0.059446,0.041605,100
"1521","g2367","7.1.2.2","NO NAME","NO_NAME_(7.1.2.2)","NO_NAME_(7.1.2.2)",0.043604,0.014212,100,0.04465,0.013545,100,0.0385,0.016284,100
"159","g1140","2.7.2.4","Aspartate kinase","Aspartate_kinase_(2.7.2.4)","Aspartate_kinase_(2.7.2.4)",0.042534,0.012369,100,0.044168,0.011687,100,0.034563,0.012603,100
"624","g156","1.1.1.86","Ketol-acid reductoisomerase (NADP(+))","Ketol-acid_reductoisomerase_(NADP(+))_(1.1.1.86)","Ketol-acid_reductoisomerase_(NADP(+))_(1.1.1.86)",0.042467,0.014854,100,0.044326,0.014516,100,0.033398,0.013145,100
