"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"1868","g530","1.6.99.3","NADH dehydrogenase","NADH_dehydrogenase_(1.6.99.3)","NADH_dehydrogenase_(1.6.99.3)",0.018127,0.008244,100,0.019076,0.007923,100,0.013499,0.008282,100
"89","g1078","2.7.1.26","Riboflavin kinase","Riboflavin_kinase_(2.7.1.26)","Riboflavin_kinase_(2.7.1.26)",0.018046,0.006962,100,0.017846,0.007187,100,0.01902,0.005694,100
"2006","g655","2.1.1.37","DNA (cytosine-5-)-methyltransferase","DNA_(cytosine-5-)-methyltransferase_(2.1.1.37)","DNA_(cytosine-5-)-methyltransferase_(2.1.1.37)",0.017994,0.013162,99.4,0.0178,0.013153,99.3,0.018939,0.01328,100
"2345","g960","2.5.1.74","1,4-dihydroxy-2-naphthoate polyprenyltransferase","1,4-dihydroxy-2-naphthoate_polyprenyltransferase_(2.5.1.74)","1,4-dihydroxy-2-naphthoate_polyprenyltransferase_(2.5.1.74)",0.017935,0.004859,100,0.018472,0.00477,100,0.015319,0.00446,100
"2069","g711","2.3.1.157","Glucosamine-1-phosphate N-acetyltransferase","Glucosamine-1-phosphate_N-acetyltransferase_(2.3.1.157)","Glucosamine-1-phosphate_N-acetyltransferase_(2.3.1.157)",0.017762,0.006778,100,0.018531,0.006142,100,0.01401,0.008375,100
"2348","g963","2.5.1.78","6,7-dimethyl-8-ribityllumazine synthase","6,7-dimethyl-8-ribityllumazine_synthase_(2.5.1.78)","6,7-dimethyl-8-ribityllumazine_synthase_(2.5.1.78)",0.017642,0.008107,100,0.017639,0.00847,100,0.017656,0.006093,100
"2275","g898","2.4.2.18","Anthranilate phosphoribosyltransferase","Anthranilate_phosphoribosyltransferase_(2.4.2.18)","Anthranilate_phosphoribosyltransferase_(2.4.2.18)",0.017539,0.005401,100,0.017803,0.005376,100,0.016252,0.005384,100
"1093","g1982","4.2.1.2","Fumarate hydratase","Fumarate_hydratase_(4.2.1.2)","Fumarate_hydratase_(4.2.1.2)",0.017537,0.013748,99.4,0.016078,0.01339,99.3,0.024658,0.01335,100
"1477","g2327","6.3.4.14","Biotin carboxylase","Biotin_carboxylase_(6.3.4.14)","Biotin_carboxylase_(6.3.4.14)",0.017532,0.004594,100,0.017646,0.004544,100,0.016976,0.004834,100
"615","g1551","3.4.13.18","Cytosol nonspecific dipeptidase","Cytosol_nonspecific_dipeptidase_(3.4.13.18)","Cytosol_nonspecific_dipeptidase_(3.4.13.18)",0.017496,0.006037,100,0.017869,0.005994,100,0.015677,0.005968,100
"172","g1152","2.7.4.25","(d)CMP kinase","(d)CMP_kinase_(2.7.4.25)","(d)CMP_kinase_(2.7.4.25)",0.017378,0.003983,100,0.017586,0.003858,100,0.016366,0.004443,100
"110","g1097","2.7.1.50","Hydroxyethylthiazole kinase","Hydroxyethylthiazole_kinase_(2.7.1.50)","Hydroxyethylthiazole_kinase_(2.7.1.50)",0.017315,0.005462,100,0.018289,0.004886,100,0.012559,0.005665,100
"569","g151","1.1.1.79","Glyoxylate reductase (NADP(+))","Glyoxylate_reductase_(NADP(+))_(1.1.1.79)","Glyoxylate_reductase_(NADP(+))_(1.1.1.79)",0.017131,0.00752,100,0.017571,0.007455,100,0.014982,0.007526,100
"1042","g1936","4.1.99.12","3,4-dihydroxy-2-butanone-4-phosphate synthase","3,4-dihydroxy-2-butanone-4-phosphate_synthase_(4.1.99.12)","3,4-dihydroxy-2-butanone-4-phosphate_synthase_(4.1.99.12)",0.017047,0.007763,100,0.017052,0.008132,100,0.017022,0.005679,100
"203","g1180","2.7.7.2","FAD synthetase","FAD_synthetase_(2.7.7.2)","FAD_synthetase_(2.7.7.2)",0.017025,0.007173,100,0.017132,0.007138,100,0.016503,0.007383,100
"2092","g732","2.3.1.1","Amino-acid N-acetyltransferase","Amino-acid_N-acetyltransferase_(2.3.1.1)","Amino-acid_N-acetyltransferase_(2.3.1.1)",0.016991,0.005086,100,0.01775,0.004694,100,0.013288,0.005336,100
"23","g1018","2.6.1.9","Histidinol-phosphate transaminase","Histidinol-phosphate_transaminase_(2.6.1.9)","Histidinol-phosphate_transaminase_(2.6.1.9)",0.016898,0.004742,100,0.017403,0.004799,100,0.014433,0.003565,100
"349","g1311","3.1.11.2","Exodeoxyribonuclease III","Exodeoxyribonuclease_III_(3.1.11.2)","Exodeoxyribonuclease_III_(3.1.11.2)",0.016825,0.004972,100,0.016985,0.005019,100,0.016045,0.004699,100
"2061","g704","2.3.1.117","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(2.3.1.117)","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase_(2.3.1.117)",0.016809,0.006238,100,0.01763,0.005897,100,0.012806,0.006361,100
"1467","g2318","6.3.2.5","Phosphopantothenate--cysteine ligase","Phosphopantothenate--cysteine_ligase_(6.3.2.5)","Phosphopantothenate--cysteine_ligase_(6.3.2.5)",0.016787,0.006654,100,0.01664,0.006947,100,0.017506,0.004972,100
"2129","g766","2.3.1.41","Beta-ketoacyl-[acyl-carrier-protein] synthase I","Beta-ketoacyl-[acyl-carrier-protein]_synthase_I_(2.3.1.41)","Beta-ketoacyl-[acyl-carrier-protein]_synthase_I_(2.3.1.41)",0.016778,0.008991,100,0.016675,0.008471,100,0.01728,0.011264,100
"1760","g433","1.3.5.2","Dihydroorotate dehydrogenase (quinone)","Dihydroorotate_dehydrogenase_(quinone)_(1.3.5.2)","Dihydroorotate_dehydrogenase_(quinone)_(1.3.5.2)",0.016757,0.006663,100,0.017717,0.006335,100,0.012072,0.006273,100
"198","g1176","2.7.7.24","Glucose-1-phosphate thymidylyltransferase","Glucose-1-phosphate_thymidylyltransferase_(2.7.7.24)","Glucose-1-phosphate_thymidylyltransferase_(2.7.7.24)",0.016719,0.010564,100,0.01674,0.010493,100,0.016614,0.010995,100
"210","g1187","2.7.7.42","[Glutamate--ammonia-ligase] adenylyltransferase","[Glutamate--ammonia-ligase]_adenylyltransferase_(2.7.7.42)","[Glutamate--ammonia-ligase]_adenylyltransferase_(2.7.7.42)",0.01671,0.006529,100,0.017033,0.006149,100,0.015132,0.00801,100
"1159","g2040","4.2.3.1","Threonine synthase","Threonine_synthase_(4.2.3.1)","Threonine_synthase_(4.2.3.1)",0.016703,0.004596,100,0.016871,0.004478,100,0.015882,0.005094,100
"2024","g671","2.1.1.79","Cyclopropane-fatty-acyl-phospholipid synthase","Cyclopropane-fatty-acyl-phospholipid_synthase_(2.1.1.79)","Cyclopropane-fatty-acyl-phospholipid_synthase_(2.1.1.79)",0.016703,0.007628,100,0.017846,0.007318,100,0.011129,0.006639,100
"1626","g312","1.17.7.3","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate_synthase_(flavodoxin)_(1.17.7.3)","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate_synthase_(flavodoxin)_(1.17.7.3)",0.016674,0.006472,100,0.017449,0.006304,100,0.012892,0.005975,100
"95","g1083","2.7.1.31","Glycerate 3-kinase","Glycerate_3-kinase_(2.7.1.31)","Glycerate_3-kinase_(2.7.1.31)",0.016611,0.007285,100,0.01666,0.007121,100,0.016375,0.008101,100
"1248","g2120","5.1.3.15","Glucose-6-phosphate 1-epimerase","Glucose-6-phosphate_1-epimerase_(5.1.3.15)","Glucose-6-phosphate_1-epimerase_(5.1.3.15)",0.016589,0.008207,99.7,0.017785,0.007795,100,0.010751,0.007704,98.3
"1619","g306","1.17.1.9","NO NAME","NO_NAME_(1.17.1.9)","NO_NAME_(1.17.1.9)",0.016545,0.017168,95.6,0.016233,0.017404,95.4,0.018065,0.016024,96.6
"403","g1360","3.1.3.16","Protein-serine/threonine phosphatase","Protein-serine/threonine_phosphatase_(3.1.3.16)","Protein-serine/threonine_phosphatase_(3.1.3.16)",0.016534,0.007012,100,0.016308,0.006829,100,0.017639,0.007813,100
"1878","g54","1.1.1.25","Shikimate dehydrogenase","Shikimate_dehydrogenase_(1.1.1.25)","Shikimate_dehydrogenase_(1.1.1.25)",0.016486,0.006214,100,0.016592,0.006559,100,0.015965,0.004148,100
"1627","g313","1.17.7.4","NO NAME","NO_NAME_(1.17.7.4)","NO_NAME_(1.17.7.4)",0.016472,0.003973,100,0.016848,0.003953,100,0.014639,0.003565,100
"2343","g959","2.5.1.72","Quinolinate synthase","Quinolinate_synthase_(2.5.1.72)","Quinolinate_synthase_(2.5.1.72)",0.016463,0.004708,100,0.017057,0.004557,100,0.013565,0.004379,100
"1860","g523","1.6.5.2","NAD(P)H dehydrogenase (quinone)","NAD(P)H_dehydrogenase_(quinone)_(1.6.5.2)","NAD(P)H_dehydrogenase_(quinone)_(1.6.5.2)",0.016422,0.007525,100,0.016646,0.007552,100,0.01533,0.007362,100
"1275","g2145","5.1.99.6","NAD(P)H-hydrate epimerase","NAD(P)H-hydrate_epimerase_(5.1.99.6)","NAD(P)H-hydrate_epimerase_(5.1.99.6)",0.016311,0.005825,100,0.016891,0.005763,100,0.013482,0.005315,100
"2050","g695","2.2.1.1","Transketolase","Transketolase_(2.2.1.1)","Transketolase_(2.2.1.1)",0.016299,0.012146,100,0.016051,0.012076,100,0.017507,0.012519,100
"373","g1333","3.1.21.2","Deoxyribonuclease IV","Deoxyribonuclease_IV_(3.1.21.2)","Deoxyribonuclease_IV_(3.1.21.2)",0.016252,0.005292,100,0.01705,0.005054,100,0.012358,0.004705,100
"731","g1656","3.5.1.25","N-acetylglucosamine-6-phosphate deacetylase","N-acetylglucosamine-6-phosphate_deacetylase_(3.5.1.25)","N-acetylglucosamine-6-phosphate_deacetylase_(3.5.1.25)",0.016135,0.005018,100,0.016322,0.004902,100,0.015224,0.0055,100
"954","g1857","4.1.1.36","Phosphopantothenoylcysteine decarboxylase","Phosphopantothenoylcysteine_decarboxylase_(4.1.1.36)","Phosphopantothenoylcysteine_decarboxylase_(4.1.1.36)",0.016003,0.006917,100,0.015966,0.007167,100,0.016184,0.005588,100
"969","g1870","4.1.1.5","Acetolactate decarboxylase","Acetolactate_decarboxylase_(4.1.1.5)","Acetolactate_decarboxylase_(4.1.1.5)",0.015935,0.009414,99.4,0.017092,0.008851,100,0.01029,0.010099,96.6
"808","g1725","3.5.4.25","GTP cyclohydrolase II","GTP_cyclohydrolase_II_(3.5.4.25)","GTP_cyclohydrolase_II_(3.5.4.25)",0.015905,0.007976,100,0.016113,0.008336,100,0.014888,0.005867,100
"333","g1298","3.1.1.5","Lysophospholipase","Lysophospholipase_(3.1.1.5)","Lysophospholipase_(3.1.1.5)",0.015882,0.007261,100,0.016615,0.006999,100,0.012306,0.007514,100
"2041","g687","2.1.3.2","Aspartate carbamoyltransferase","Aspartate_carbamoyltransferase_(2.1.3.2)","Aspartate_carbamoyltransferase_(2.1.3.2)",0.015804,0.004722,100,0.016091,0.004547,100,0.014404,0.005323,100
"93","g1081","2.7.1.2","Glucokinase","Glucokinase_(2.7.1.2)","Glucokinase_(2.7.1.2)",0.015783,0.005561,100,0.016441,0.005464,100,0.012572,0.00491,100
"865","g1777","3.6.1.7","Acylphosphatase","Acylphosphatase_(3.6.1.7)","Acylphosphatase_(3.6.1.7)",0.015672,0.00965,100,0.01655,0.009934,100,0.011392,0.006697,100
"904","g1811","3.6.3.4","Cu(2+)-exporting ATPase","Cu(2+)-exporting_ATPase_(3.6.3.4)","Cu(2+)-exporting_ATPase_(3.6.3.4)",0.015651,0.006857,100,0.015594,0.006548,100,0.015928,0.008261,100
"2330","g947","2.5.1.48","Cystathionine gamma-synthase","Cystathionine_gamma-synthase_(2.5.1.48)","Cystathionine_gamma-synthase_(2.5.1.48)",0.015626,0.007987,100,0.015593,0.007859,100,0.015788,0.008655,100
"310","g1277","2.8.4.3","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase","tRNA-2-methylthio-N(6)-dimethylallyladenosine_synthase_(2.8.4.3)","tRNA-2-methylthio-N(6)-dimethylallyladenosine_synthase_(2.8.4.3)",0.015595,0.005822,100,0.016337,0.005652,100,0.011973,0.005297,100
"1505","g2352","6.4.1.3","Propionyl-CoA carboxylase","Propionyl-CoA_carboxylase_(6.4.1.3)","Propionyl-CoA_carboxylase_(6.4.1.3)",0.015476,0.008853,99.1,0.016205,0.008856,98.9,0.01192,0.008002,100
"31","g1025","2.7.1.11","6-phosphofructokinase","6-phosphofructokinase_(2.7.1.11)","6-phosphofructokinase_(2.7.1.11)",0.015401,0.010848,100,0.014341,0.0106,100,0.020571,0.010643,100
"672","g1602","3.4.22.40","Bleomycin hydrolase","Bleomycin_hydrolase_(3.4.22.40)","Bleomycin_hydrolase_(3.4.22.40)",0.015363,0.009941,99.7,0.016076,0.009027,100,0.011881,0.013095,98.3
"1805","g474","1.4.3.16","L-aspartate oxidase","L-aspartate_oxidase_(1.4.3.16)","L-aspartate_oxidase_(1.4.3.16)",0.01534,0.00426,100,0.015863,0.004046,100,0.012787,0.004389,100
"1482","g2331","6.3.4.19","tRNA(Ile)-lysidine synthetase","tRNA(Ile)-lysidine_synthetase_(6.3.4.19)","tRNA(Ile)-lysidine_synthetase_(6.3.4.19)",0.015278,0.004132,100,0.015091,0.004111,100,0.016192,0.004152,100
"828","g1743","3.5.99.2","Aminopyrimidine aminohydrolase","Aminopyrimidine_aminohydrolase_(3.5.99.2)","Aminopyrimidine_aminohydrolase_(3.5.99.2)",0.015176,0.009752,100,0.016405,0.009476,100,0.009177,0.008879,100
"2171","g803","2.3.2.3","Lysyltransferase","Lysyltransferase_(2.3.2.3)","Lysyltransferase_(2.3.2.3)",0.015074,0.008324,100,0.016072,0.007948,100,0.010205,0.008471,100
"1401","g2259","6.1.1.23","Aspartate--tRNA(Asn) ligase","Aspartate--tRNA(Asn)_ligase_(6.1.1.23)","Aspartate--tRNA(Asn)_ligase_(6.1.1.23)",0.014987,0.007788,99.7,0.016009,0.007539,99.6,0.009998,0.007076,100
"1759","g432","1.3.5.1","Succinate dehydrogenase (quinone)","Succinate_dehydrogenase_(quinone)_(1.3.5.1)","Succinate_dehydrogenase_(quinone)_(1.3.5.1)",0.014982,0.005077,100,0.015388,0.004962,100,0.013004,0.005214,100
"2276","g899","2.4.2.19","Nicotinate-nucleotide diphosphorylase (carboxylating)","Nicotinate-nucleotide_diphosphorylase_(carboxylating)_(2.4.2.19)","Nicotinate-nucleotide_diphosphorylase_(carboxylating)_(2.4.2.19)",0.014958,0.004301,100,0.01535,0.004316,100,0.01304,0.003699,100
"916","g1822","3.6.5.n1","Elongation factor 4","Elongation_factor_4_(3.6.5.n1)","Elongation_factor_4_(3.6.5.n1)",0.014913,0.004728,100,0.015073,0.004688,100,0.014133,0.004884,100
"1483","g2332","6.3.4.20","7-cyano-7-deazaguanine synthase","7-cyano-7-deazaguanine_synthase_(6.3.4.20)","7-cyano-7-deazaguanine_synthase_(6.3.4.20)",0.014516,0.007632,100,0.015102,0.007933,100,0.011657,0.005102,100
"814","g1730","3.5.4.30","dCTP deaminase (dUMP-forming)","dCTP_deaminase_(dUMP-forming)_(3.5.4.30)","dCTP_deaminase_(dUMP-forming)_(3.5.4.30)",0.014338,0.008776,99.1,0.015458,0.008608,98.9,0.00887,0.00749,100
"1493","g2341","6.3.5.1","NAD(+) synthase (glutamine-hydrolyzing)","NAD(+)_synthase_(glutamine-hydrolyzing)_(6.3.5.1)","NAD(+)_synthase_(glutamine-hydrolyzing)_(6.3.5.1)",0.01433,0.006836,99.7,0.015088,0.006698,99.6,0.010631,0.006324,100
"1217","g2093","4.6.1.1","Adenylate cyclase","Adenylate_cyclase_(4.6.1.1)","Adenylate_cyclase_(4.6.1.1)",0.014322,0.006196,100,0.01527,0.005904,100,0.009692,0.005504,100
"897","g1805","3.6.3.3","Cadmium-exporting ATPase","Cadmium-exporting_ATPase_(3.6.3.3)","Cadmium-exporting_ATPase_(3.6.3.3)",0.014173,0.006008,100,0.014216,0.005863,100,0.013959,0.006719,100
"33","g1027","2.7.1.12","Gluconokinase","Gluconokinase_(2.7.1.12)","Gluconokinase_(2.7.1.12)",0.01397,0.008597,100,0.014505,0.00866,100,0.011362,0.007839,100
"2264","g888","2.4.1.7","Sucrose phosphorylase","Sucrose_phosphorylase_(2.4.1.7)","Sucrose_phosphorylase_(2.4.1.7)",0.013835,0.006715,99.7,0.014522,0.006588,100,0.010483,0.00636,98.3
"354","g1316","3.1.13.1","Exoribonuclease II","Exoribonuclease_II_(3.1.13.1)","Exoribonuclease_II_(3.1.13.1)",0.013795,0.009094,100,0.012935,0.009151,100,0.017992,0.007574,100
"1800","g47","1.1.1.22","UDP-glucose 6-dehydrogenase","UDP-glucose_6-dehydrogenase_(1.1.1.22)","UDP-glucose_6-dehydrogenase_(1.1.1.22)",0.013511,0.01025,99.4,0.013044,0.009874,99.3,0.015789,0.011745,100
"644","g1578","3.4.21.107","Peptidase Do","Peptidase_Do_(3.4.21.107)","Peptidase_Do_(3.4.21.107)",0.013478,0.012456,97.9,0.01289,0.012307,97.9,0.016346,0.012886,98.3
"1615","g302","1.17.1.2","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase_(1.17.1.2)","4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase_(1.17.1.2)",0.013473,0.008719,98.5,0.014635,0.008522,98.2,0.007802,0.007397,100
"1605","g294","1.15.1.1","Superoxide dismutase","Superoxide_dismutase_(1.15.1.1)","Superoxide_dismutase_(1.15.1.1)",0.013424,0.00936,100,0.012722,0.009295,100,0.016849,0.008989,100
"1118","g2003","4.2.1.68","L-fuconate dehydratase","L-fuconate_dehydratase_(4.2.1.68)","L-fuconate_dehydratase_(4.2.1.68)",0.013418,0.010151,87.7,0.014585,0.009979,89.8,0.007721,0.009063,77.6
"1689","g37","1.1.1.193","5-amino-6-(5-phosphoribosylamino)uracil reductase","5-amino-6-(5-phosphoribosylamino)uracil_reductase_(1.1.1.193)","5-amino-6-(5-phosphoribosylamino)uracil_reductase_(1.1.1.193)",0.013405,0.00855,100,0.013603,0.008857,100,0.012437,0.006846,100
"809","g1726","3.5.4.26","Diaminohydroxyphosphoribosylaminopyrimidine deaminase","Diaminohydroxyphosphoribosylaminopyrimidine_deaminase_(3.5.4.26)","Diaminohydroxyphosphoribosylaminopyrimidine_deaminase_(3.5.4.26)",0.013394,0.008554,100,0.013589,0.008863,100,0.012444,0.006837,100
"643","g1577","3.4.21.105","Rhomboid protease","Rhomboid_protease_(3.4.21.105)","Rhomboid_protease_(3.4.21.105)",0.013289,0.005963,100,0.013333,0.006082,100,0.01307,0.005387,100
"405","g1362","3.1.3.1","Alkaline phosphatase","Alkaline_phosphatase_(3.1.3.1)","Alkaline_phosphatase_(3.1.3.1)",0.013276,0.005612,100,0.013463,0.005583,100,0.012359,0.005711,100
"668","g16","1.1.1.133","dTDP-4-dehydrorhamnose reductase","dTDP-4-dehydrorhamnose_reductase_(1.1.1.133)","dTDP-4-dehydrorhamnose_reductase_(1.1.1.133)",0.013183,0.009655,100,0.013565,0.009934,100,0.011318,0.007971,100
"1613","g300","1.16.3.1","Ferroxidase","Ferroxidase_(1.16.3.1)","Ferroxidase_(1.16.3.1)",0.013065,0.008037,99.7,0.01363,0.008104,100,0.010307,0.007147,98.3
"1372","g2232","5.4.99.5","Chorismate mutase","Chorismate_mutase_(5.4.99.5)","Chorismate_mutase_(5.4.99.5)",0.013038,0.006854,100,0.013803,0.006722,100,0.009304,0.006288,100
"1264","g2135","5.1.3.4","L-ribulose-5-phosphate 4-epimerase","L-ribulose-5-phosphate_4-epimerase_(5.1.3.4)","L-ribulose-5-phosphate_4-epimerase_(5.1.3.4)",0.013021,0.010254,97.7,0.01236,0.010099,97.5,0.016245,0.010481,98.3
"399","g1357","3.1.3.11","Fructose-bisphosphatase","Fructose-bisphosphatase_(3.1.3.11)","Fructose-bisphosphatase_(3.1.3.11)",0.013014,0.01123,97.1,0.011955,0.010711,96.8,0.018181,0.012326,98.3
"1947","g601","2.1.1.171","16S rRNA (guanine(966)-N(2))-methyltransferase","16S_rRNA_(guanine(966)-N(2))-methyltransferase_(2.1.1.171)","16S_rRNA_(guanine(966)-N(2))-methyltransferase_(2.1.1.171)",0.012996,0.005571,100,0.012757,0.005351,100,0.014161,0.006466,100
"962","g1864","4.1.1.48","Indole-3-glycerol-phosphate synthase","Indole-3-glycerol-phosphate_synthase_(4.1.1.48)","Indole-3-glycerol-phosphate_synthase_(4.1.1.48)",0.012941,0.004571,100,0.013127,0.004686,100,0.012031,0.003869,100
"537","g1481","3.2.1.51","Alpha-L-fucosidase","Alpha-L-fucosidase_(3.2.1.51)","Alpha-L-fucosidase_(3.2.1.51)",0.012925,0.011924,88.6,0.013596,0.01231,88,0.009651,0.00923,91.4
"249","g1221","2.7.7.89","[Glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase","[Glutamate--ammonia_ligase]-adenylyl-L-tyrosine_phosphorylase_(2.7.7.89)","[Glutamate--ammonia_ligase]-adenylyl-L-tyrosine_phosphorylase_(2.7.7.89)",0.012783,0.004544,100,0.013343,0.004324,100,0.010055,0.004643,100
"184","g1163","2.7.6.2","Thiamine diphosphokinase","Thiamine_diphosphokinase_(2.7.6.2)","Thiamine_diphosphokinase_(2.7.6.2)",0.01269,0.006619,99.7,0.013371,0.006536,99.6,0.009368,0.006038,100
"2124","g761","2.3.1.35","Glutamate N-acetyltransferase","Glutamate_N-acetyltransferase_(2.3.1.35)","Glutamate_N-acetyltransferase_(2.3.1.35)",0.012591,0.006818,100,0.013613,0.006603,100,0.007603,0.005576,100
"778","g1699","3.5.2.6","Beta-lactamase","Beta-lactamase_(3.5.2.6)","Beta-lactamase_(3.5.2.6)",0.012566,0.01089,100,0.01155,0.009817,100,0.017522,0.014157,100
"1117","g2002","4.2.1.59","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(4.2.1.59)","3-hydroxyacyl-[acyl-carrier-protein]_dehydratase_(4.2.1.59)",0.012566,0.006158,100,0.01227,0.006197,100,0.01401,0.005802,100
"1439","g2293","6.3.1.19","NO NAME","NO_NAME_(6.3.1.19)","NO_NAME_(6.3.1.19)",0.012565,0.008182,98.2,0.013622,0.007985,98.6,0.007412,0.007163,96.6
"1517","g2363","7.1.1.1","NO NAME","NO_NAME_(7.1.1.1)","NO_NAME_(7.1.1.1)",0.012528,0.00593,100,0.013376,0.005657,100,0.008395,0.005521,100
"209","g1186","2.7.7.41","Phosphatidate cytidylyltransferase","Phosphatidate_cytidylyltransferase_(2.7.7.41)","Phosphatidate_cytidylyltransferase_(2.7.7.41)",0.012509,0.008183,100,0.011529,0.007906,100,0.01729,0.007885,100
"2000","g65","1.1.1.274","2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)","2,5-didehydrogluconate_reductase_(2-dehydro-D-gluconate-forming)_(1.1.1.274)","2,5-didehydrogluconate_reductase_(2-dehydro-D-gluconate-forming)_(1.1.1.274)",0.012471,0.010273,100,0.013044,0.010751,100,0.009673,0.006931,100
"1504","g2351","6.4.1.2","Acetyl-CoA carboxylase","Acetyl-CoA_carboxylase_(6.4.1.2)","Acetyl-CoA_carboxylase_(6.4.1.2)",0.01246,0.008248,100,0.011528,0.007913,100,0.017011,0.008406,100
"824","g174","1.1.5.3","Glycerol-3-phosphate dehydrogenase","Glycerol-3-phosphate_dehydrogenase_(1.1.5.3)","Glycerol-3-phosphate_dehydrogenase_(1.1.5.3)",0.012385,0.011973,98.2,0.011858,0.011717,98.2,0.014957,0.012953,98.3
"109","g1096","2.7.1.4","Fructokinase","Fructokinase_(2.7.1.4)","Fructokinase_(2.7.1.4)",0.012331,0.004794,100,0.013057,0.004656,100,0.00879,0.003809,100
"2001","g650","2.1.1.297","Peptide chain release factor N(5)-glutamine methyltransferase","Peptide_chain_release_factor_N(5)-glutamine_methyltransferase_(2.1.1.297)","Peptide_chain_release_factor_N(5)-glutamine_methyltransferase_(2.1.1.297)",0.012299,0.004433,100,0.012572,0.004478,100,0.010963,0.003979,100
"2074","g716","2.3.1.16","Acetyl-CoA C-acyltransferase","Acetyl-CoA_C-acyltransferase_(2.3.1.16)","Acetyl-CoA_C-acyltransferase_(2.3.1.16)",0.012255,0.011233,98.8,0.011723,0.010963,98.6,0.014846,0.012241,100
"1236","g211","1.12.99.6","Hydrogenase (acceptor)","Hydrogenase_(acceptor)_(1.12.99.6)","Hydrogenase_(acceptor)_(1.12.99.6)",0.012202,0.013145,94.4,0.011041,0.012429,94,0.017868,0.015071,96.6
"2121","g759","2.3.1.30","Serine O-acetyltransferase","Serine_O-acetyltransferase_(2.3.1.30)","Serine_O-acetyltransferase_(2.3.1.30)",0.01218,0.007143,100,0.01167,0.007048,100,0.014668,0.00714,100
"592","g1530","3.2.2.n1","Cytokinin riboside 5'-monophosphate phosphoribohydrolase","Cytokinin_riboside_5'-monophosphate_phosphoribohydrolase_(3.2.2.n1)","Cytokinin_riboside_5'-monophosphate_phosphoribohydrolase_(3.2.2.n1)",0.012174,0.006898,100,0.012126,0.006814,100,0.012407,0.007349,100
"2313","g931","2.5.1.145","NO NAME","NO_NAME_(2.5.1.145)","NO_NAME_(2.5.1.145)",0.012167,0.006537,100,0.012877,0.0063,100,0.008702,0.00662,100
"593","g1531","3.3.1.1","Adenosylhomocysteinase","Adenosylhomocysteinase_(3.3.1.1)","Adenosylhomocysteinase_(3.3.1.1)",0.012005,0.007841,100,0.012431,0.007991,100,0.009928,0.006748,100
"217","g1193","2.7.7.4","Sulfate adenylyltransferase","Sulfate_adenylyltransferase_(2.7.7.4)","Sulfate_adenylyltransferase_(2.7.7.4)",0.011951,0.009848,97.4,0.010837,0.00921,96.8,0.017385,0.011071,100
"914","g1820","3.6.4.6","Vesicle-fusing ATPase","Vesicle-fusing_ATPase_(3.6.4.6)","Vesicle-fusing_ATPase_(3.6.4.6)",0.011895,0.009119,93.8,0.013032,0.009105,95.4,0.006347,0.006937,86.2
"545","g1489","3.2.1.68","Isoamylase","Isoamylase_(3.2.1.68)","Isoamylase_(3.2.1.68)",0.011865,0.00835,96.8,0.012962,0.008236,96.8,0.006511,0.006719,96.6
"2368","g981","2.6.1.17","Succinyldiaminopimelate transaminase","Succinyldiaminopimelate_transaminase_(2.6.1.17)","Succinyldiaminopimelate_transaminase_(2.6.1.17)",0.011799,0.007489,99.7,0.012289,0.007569,99.6,0.009408,0.006641,100
"1172","g2052","4.3.1.19","Threonine ammonia-lyase","Threonine_ammonia-lyase_(4.3.1.19)","Threonine_ammonia-lyase_(4.3.1.19)",0.011761,0.008241,99.7,0.01153,0.008388,99.6,0.012889,0.007446,100
"1184","g2063","4.3.2.2","Adenylosuccinate lyase","Adenylosuccinate_lyase_(4.3.2.2)","Adenylosuccinate_lyase_(4.3.2.2)",0.011703,0.008062,100,0.010988,0.008016,100,0.015188,0.007413,100
"1902","g561","1.8.4.11","Peptide-methionine (S)-S-oxide reductase","Peptide-methionine_(S)-S-oxide_reductase_(1.8.4.11)","Peptide-methionine_(S)-S-oxide_reductase_(1.8.4.11)",0.0117,0.005098,100,0.011618,0.005136,100,0.012104,0.004931,100
"514","g1460","3.2.1.1","Alpha-amylase","Alpha-amylase_(3.2.1.1)","Alpha-amylase_(3.2.1.1)",0.011685,0.008126,99.7,0.010947,0.007768,99.6,0.015289,0.008912,100
