"","tr_lm_R2","tr_spearman","tr_n","tst_lm_R2","tst_spearman","tst_n"
"B1.F1",0.005,0.005,97,0.0225,0.0239483551040155,25
"B1.F2",0.0069,0.0069,98,0.1487,0.134924814885134,24
"B1.F3",0.0052,0.0052,98,0.0376,0.128574458415392,24
"B1.F4",0.018,0.018,98,0.013,0.000595405354091513,24
"B1.F5",0.0367,0.0367,97,1e-04,0.00705732105732106,25
"B2.F1",0.0232,0.0232,98,3e-04,0.00122044241037376,24
"B2.F2",0.0128,0.0128,97,0.2595,0.328476656990808,25
"B2.F3",0.0132,0.0132,97,1e-04,0.000274576774576775,25
"B2.F4",0.0041,0.0041,98,1e-04,6.1354340251477e-05,24
"B2.F5",7e-04,7e-04,98,0.028,0.0293963035903651,24
"B3.F1",3e-04,3e-04,98,0.0163,0.00617848970251716,24
"B3.F2",0.0381,0.0381,97,0.0033,0.000315444245676804,25
"B3.F3",0.0111,0.0111,98,0.0038,0.000128010907438267,24
"B3.F4",0.0034,0.0034,98,0.1284,0.131369183829138,24
"B3.F5",0.009,0.009,97,0.0032,0.0021029106029106,25
"B4.F1",0.0062,0.0062,98,0.0055,0.0017421550094518,24
"B4.F2",7e-04,7e-04,98,0.121,0.0765568634896526,24
"B4.F3",0.0093,0.0093,97,0.0145,0.00287917271407837,25
"B4.F4",0.0214,0.0214,98,0.015,0.0148851338522878,24
"B4.F5",6e-04,6e-04,97,0.0902,0.0492321187584346,25
"B5.F1",0.0076,0.0076,98,0.0321,0.0244647279009502,24
"B5.F2",0,0,98,0.0901,0.0963697542533081,24
"B5.F3",0.0084,0.0084,98,0.0087,0.0114596273291925,24
"B5.F4",0.0579,0.0579,97,2e-04,0.00123822917940565,25
"B5.F5",0.0187,0.0187,97,0.0272,0.0296716661716662,25
"B6.F1",0.0012,0.0012,97,0.048,0.0270641572463984,25
"B6.F2",0.0049,0.0049,97,0.0499,0.0610649519971554,25
"B6.F3",0.0012,0.0012,98,0.0869,0.0608713310312353,24
"B6.F4",0.0017,0.0017,98,0.0767,0.0621196126827416,24
"B6.F5",0.0184,0.0184,98,0.0024,0.0129818257465439,24
"B7.F1",0.005,0.005,98,0.002,0.0279962027719764,24
"B7.F2",0.0024,0.0024,97,0.0273,0.0141563860667634,25
"B7.F3",0,0,98,0.0355,0.0811018331893655,24
"B7.F4",0.0107,0.0107,97,0.015,0.026094674556213,25
"B7.F5",0.0089,0.0089,98,0.0022,0.00197531801784697,24
"B8.F1",0.0282,0.0282,98,0.0141,0.00473970001898614,24
